"postcode","pc_name","pc_type","pa_name","pa_fips","city_town","county","area_sqmi","shape_area","shape_len","zip3"
"01034","GRANVILLE","NON UNIQUE","GRANVILLE","26640","GRANVILLE, TOWN OF","Hampden","74.99422","194221093.16","66316.5910047","010"
"01520","HOLDEN","NON UNIQUE","HOLDEN","30525","HOLDEN, TOWN OF","Worcester","21.912709","56749926.9756","39864.6861999","015"
"02302","BROCKTON","NON UNIQUE","BROCKTON","09000","BROCKTON","Plymouth","8.882573","23004208.0112","24399.2478195","023"
"02341","HANSON","NON UNIQUE","HANSON","28460","HANSON, TOWN OF","Plymouth","15.70374","40669860.6419","30749.09352","023"
"02151","REVERE","NON UNIQUE","REVERE","56585","REVERE","Suffolk","6.242747","16167720.4951","28691.2775526","021"
"01844","METHUEN","NON UNIQUE","METHUEN","40710","METHUEN","Essex","23.523394","60926230.6645","47537.7082727","018"
"01540","OXFORD","NON UNIQUE","OXFORD","51790","OXFORD, TOWN OF","Worcester","22.02658","57044630.426","40527.9654238","015"
"01890","WINCHESTER","NON UNIQUE","WINCHESTER","80545","WINCHESTER, TOWN OF","Middlesex","6.687088","17318576.6815","24333.4379686","018"
"01913","AMESBURY","NON UNIQUE","AMESBURY","01220","AMESBURY, TOWN OF","Essex","14.368881","37217382.6434","30641.2006435","019"
"02346","MIDDLEBORO","NON UNIQUE","MIDDLEBORO","40780","MIDDLEBOROUGH, TOWN OF","Plymouth","72.110402","186757666.466","73010.8996593","023"
"02019","BELLINGHAM","NON UNIQUE","BELLINGHAM","04965","BELLINGHAM, TOWN OF","Norfolk","18.950318","49077837.8828","35182.2782942","020"
"02452","WALTHAM","NON UNIQUE","WALTHAM","72600","WALTHAM","Middlesex","3.701295","9585735.45757","13990.4839649","024"
"02747","NORTH DARTMOUTH","NON UNIQUE","NORTH DARTMOUTH","47450","DARTMOUTH, TOWN OF","Bristol","42.204639","109311731.456","75129.892614","027"
"02468","WABAN","NON UNIQUE","WABAN","72075","NEWTON","Middlesex","1.467739","3801173.12778","17502.4784037","024"
"01354","GILL","NON UNIQUE","GILL","25710","GILL, TOWN OF","Franklin","13.727186","35552752.2235","33098.5902882","013"
"02118","BOSTON","NON UNIQUE","BOSTON","07000","BOSTON","Suffolk","1.100187","2849283.27966","9111.31177144","021"
"01432","AYER","NON UNIQUE","AYER","03040","AYER, TOWN OF","Middlesex","8.475982","21952007.8581","28981.3440541","014"
"01331","ATHOL","NON UNIQUE","ATHOL","02515","ATHOL, TOWN OF","Worcester","58.068964","150393515.012","66783.0096985","013"
"02745","NEW BEDFORD","NON UNIQUE","NEW BEDFORD","45000","NEW BEDFORD","Bristol","10.136287","26252988.8954","34833.838083","027"
"02474","ARLINGTON","NON UNIQUE","ARLINGTON","01640","ARLINGTON, TOWN OF","Middlesex","3.493511","9047637.20056","18731.9392875","024"
"01464","SHIRLEY","NON UNIQUE","SHIRLEY","61555","SHIRLEY, TOWN OF","Middlesex","16.153392","41835879.2041","35867.128587","014"
"02126","MATTAPAN","NON UNIQUE","MATTAPAN","07000","BOSTON","Suffolk","2.027791","5251588.07958","12239.9003478","021"
"02576","WEST WAREHAM","NON UNIQUE","WEST WAREHAM","78410","WAREHAM, TOWN OF","Plymouth","10.364311","26842978.4807","37530.7833771","025"
"01583","WEST BOYLSTON","NON UNIQUE","WEST BOYLSTON","75120","WEST BOYLSTON, TOWN OF","Worcester","13.536647","35057565.0476","30751.5695191","015"
"01938","IPSWICH","NON UNIQUE","IPSWICH","32275","IPSWICH, TOWN OF","Essex","30.072085","77886259.705","90331.8168465","019"
"02127","BOSTON","NON UNIQUE","BOSTON","07000","BOSTON","Suffolk","2.613092","6767431.7906","30725.5945036","021"
"01081","WALES","NON UNIQUE","WALES","72355","WALES, TOWN OF","Hampden","16.028906","41511959.0275","25844.2387341","010"
"02359","PEMBROKE","NON UNIQUE","PEMBROKE","52595","PEMBROKE, TOWN OF","Plymouth","23.660111","61275385.1816","42585.5438895","023"
"01879","TYNGSBORO","NON UNIQUE","TYNGSBORO","70955","TYNGSBOROUGH, TOWN OF","Middlesex","17.832923","46186815.7018","45280.3170738","018"
"02766","NORTON","NON UNIQUE","NORTON","49935","NORTON, TOWN OF","Bristol","29.01225","75137304.6935","52685.0089269","027"
"01452","HUBBARDSTON","NON UNIQUE","HUBBARDSTON","31400","HUBBARDSTON, TOWN OF","Worcester","43.491447","112637032.393","44937.0476224","014"
"01752","MARLBOROUGH","NON UNIQUE","MARLBOROUGH","38715","MARLBOROUGH","Middlesex","22.415078","58051036.9594","37097.2349396","017"
